item_id,timestamp,target_value,Temperature,Fuel_Price,CPI,Unemployment,,,
1,2010-02-05,1643690.9,42.31,2.572,211.0963582,8.106,,,
1,2010-02-12,1641957.44,38.51,2.548,211.2421698,8.106,,,
1,2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106,,,
1,2010-02-26,1409727.59,46.63,2.561,211.3196429,8.106,,,
2,2010-02-05,2136989.46,40.19,2.572,210.7526053,8.324,,,
2,2010-02-12,2137809.5,38.49,2.548,210.8979935,8.324,,,
2,2010-02-19,2124451.54,39.69,2.514,210.9451605,8.324,,,
2,2010-02-26,1865097.27,46.1,2.561,210.9759573,8.324,,,
3,2010-02-05,461622.22,45.71,2.572,214.4248812,7.368,,,
3,2010-02-12,420728.96,47.93,2.548,214.5747916,7.368,,,
3,2010-02-19,421642.19,47.07,2.514,214.6198868,7.368,,,
3,2010-02-26,407204.86,52.05,2.561,214.6475127,7.368,,,
4,2010-02-05,2135143.87,43.76,2.598,126.4420645,8.623,,,
4,2010-02-12,2188307.39,28.84,2.573,126.4962581,8.623,,,
4,2010-02-19,2049860.26,36.45,2.54,126.5262857,8.623,,,
4,2010-02-26,1925728.84,41.36,2.59,126.5522857,8.623,,,
5,2010-02-05,317173.1,39.7,2.572,211.6539716,6.566,,,
5,2010-02-12,311825.7,39.81,2.548,211.8004698,6.566,,,
5,2010-02-19,303447.57,41.14,2.514,211.8471283,6.566,,,
5,2010-02-26,270281.63,46.7,2.561,211.8771468,6.566,,,
6,2010-02-05,1652635.1,40.43,2.572,212.6223518,7.259,,,
6,2010-02-12,1606283.86,40.57,2.548,212.7700425,7.259,,,
6,2010-02-19,1567138.07,43.58,2.514,212.8161546,7.259,,,
6,2010-02-26,1432953.21,47.1,2.561,212.845337,7.259,,,
7,2010-02-05,496725.44,10.53,2.58,189.3816974,9.014,,,
7,2010-02-12,524104.92,25.9,2.572,189.4642725,9.014,,,
7,2010-02-19,506760.54,27.28,2.55,189.5340998,9.014,,,
7,2010-02-26,496083.24,24.91,2.586,189.6018023,9.014,,,
8,2010-02-05,1004137.09,34.14,2.572,214.4714512,6.299,,,
8,2010-02-12,994801.4,33.34,2.548,214.6214189,6.299,,,
